>      0.6000      0.4500      1.0000      5.0000
>  150      0.1000
    7.90    57.739   119.241   180.742    61.501  0.294E+11  0.209E-08
    8.00    54.414   120.908   187.403    66.494  0.318E+11  0.209E-08
    8.10    55.247   122.625   190.003    67.378  0.318E+11  0.212E-08
    8.20    56.081   124.342   192.603    68.261  0.318E+11  0.215E-08
    8.30    56.914   126.059   195.203    69.144  0.318E+11  0.218E-08
    8.40    57.748   127.775   197.803    70.027  0.318E+11  0.220E-08
    8.50    58.581   129.492   200.403    70.911  0.318E+11  0.223E-08
    8.60    59.415   131.209   203.003    71.794  0.318E+11  0.226E-08
    8.70    60.248   132.926   205.603    72.677  0.318E+11  0.229E-08
    8.80    61.082   134.642   208.203    73.560  0.318E+11  0.231E-08
    8.90    61.915   136.359   210.803    74.444  0.318E+11  0.234E-08
    9.00    62.749   138.076   213.403    75.327  0.318E+11  0.237E-08
    9.10    63.582   139.793   216.003    76.210  0.318E+11  0.240E-08
    9.20    64.416   141.509   218.603    77.093  0.318E+11  0.243E-08
    9.30    65.249   143.226   221.203    77.977  0.318E+11  0.245E-08
    9.40    66.083   144.943   223.803    78.860  0.318E+11  0.248E-08
    9.50    66.916   146.660   226.403    79.743  0.318E+11  0.251E-08
    9.60    67.750   148.376   229.003    80.626  0.318E+11  0.254E-08
    9.70    68.583   150.093   231.603    81.510  0.318E+11  0.256E-08
    9.80    69.417   151.810   234.203    82.393  0.318E+11  0.259E-08
    9.90    70.250   153.527   236.803    83.276  0.318E+11  0.262E-08
   10.00    71.084   155.243   239.403    84.159  0.318E+11  0.265E-08
   10.10    71.917   156.960   242.003    85.043  0.318E+11  0.268E-08
   10.20    72.751   158.677   244.603    85.926  0.318E+11  0.270E-08
   10.30    73.584   160.394   247.203    86.809  0.318E+11  0.273E-08
   10.40    74.418   162.110   249.803    87.693  0.318E+11  0.276E-08
   10.50    75.251   163.827   252.403    88.576  0.318E+11  0.279E-08
   10.60    76.085   165.544   255.003    89.459  0.318E+11  0.281E-08
   10.70    76.918   167.261   257.603    90.342  0.318E+11  0.284E-08
   10.80    77.752   168.977   260.203    91.226  0.318E+11  0.287E-08
   10.90    78.585   170.694   262.803    92.109  0.318E+11  0.290E-08
   11.00    79.419   172.411   265.403    92.992  0.318E+11  0.293E-08
