    4.50    62.539   212.747    75.104  0.294E+11  0.255E-08
    4.55    63.373   215.348    75.988  0.294E+11  0.258E-08
    4.60    64.206   217.949    76.871  0.294E+11  0.261E-08
    4.65    65.040   220.550    77.755  0.294E+11  0.264E-08
    4.70    65.874   223.152    78.639  0.294E+11  0.267E-08
    4.75    66.708   225.753    79.522  0.294E+11  0.270E-08
    4.80    67.542   228.354    80.406  0.294E+11  0.273E-08
    4.85    68.376   230.955    81.290  0.294E+11  0.276E-08
    4.90    69.210   233.556    82.173  0.294E+11  0.279E-08
    4.95    70.043   236.157    83.057  0.294E+11  0.282E-08
    5.00    70.877   238.758    83.941  0.294E+11  0.285E-08
    5.05    71.711   241.360    84.824  0.294E+11  0.288E-08
    5.10    72.545   243.961    85.708  0.294E+11  0.291E-08
    5.15    73.379   246.562    86.592  0.294E+11  0.294E-08
    5.20    74.213   249.163    87.475  0.294E+11  0.298E-08
    5.25    75.047   251.764    88.359  0.294E+11  0.301E-08
    5.30    75.880   254.365    89.242  0.294E+11  0.304E-08
    5.35    76.714   256.966    90.126  0.294E+11  0.307E-08
    5.40    77.548   259.568    91.010  0.294E+11  0.310E-08
    5.45    78.382   262.169    91.893  0.294E+11  0.313E-08
    5.50    79.216   264.770    92.777  0.294E+11  0.316E-08
    5.55    80.050   267.371    93.661  0.294E+11  0.319E-08
    5.60    80.883   269.972    94.544  0.294E+11  0.322E-08
    5.65    81.717   272.573    95.428  0.294E+11  0.325E-08
    5.70    82.551   275.174    96.312  0.294E+11  0.328E-08
    5.75    83.385   277.775    97.195  0.294E+11  0.331E-08
    5.80    84.219   280.377    98.079  0.294E+11  0.334E-08
    5.85    85.053   282.978    98.963  0.294E+11  0.337E-08
    5.90    85.887   285.579    99.846  0.294E+11  0.340E-08
    5.95    86.720   288.180   100.730  0.294E+11  0.343E-08
    6.00    87.554   290.781   101.613  0.294E+11  0.346E-08
    6.05    88.388   293.382   102.497  0.294E+11  0.349E-08
    6.10    89.222   295.983   103.381  0.294E+11  0.352E-08
    6.15    90.056   298.585   104.264  0.294E+11  0.355E-08
    6.20    90.890   301.186   105.148  0.294E+11  0.358E-08
    6.25    91.724   303.787   106.032  0.294E+11  0.361E-08
    6.30    92.557   306.388   106.915  0.294E+11  0.364E-08
    6.35    93.391   308.989   107.799  0.294E+11  0.367E-08
    6.40    94.225   311.590   108.683  0.294E+11  0.370E-08
    6.45    95.059   314.191   109.566  0.294E+11  0.373E-08
    6.50    95.893   316.792   110.450  0.294E+11  0.376E-08
    6.55    96.727   319.394   111.334  0.294E+11  0.379E-08
    6.60    97.560   321.995   112.217  0.294E+11  0.382E-08
    6.65    98.394   324.596   113.101  0.294E+11  0.385E-08
    6.70    99.228   327.197   113.984  0.294E+11  0.388E-08
    6.75   100.062   329.798   114.868  0.294E+11  0.391E-08
    6.80   100.896   332.399   115.752  0.294E+11  0.394E-08
    6.85   101.730   335.000   116.635  0.294E+11  0.397E-08
    6.90   102.564   337.602   117.519  0.294E+11  0.400E-08
    6.95   103.397   340.203   118.403  0.294E+11  0.403E-08
    7.00   104.231   342.804   119.286  0.294E+11  0.406E-08
    7.05   105.065   345.405   120.170  0.294E+11  0.409E-08
    7.10   105.899   348.006   121.054  0.294E+11  0.412E-08
    7.15   106.733   350.607   121.937  0.294E+11  0.415E-08
